CPU_0,CPU_1,CPU_2,CPU_3
7.27,51.43,73.83,0.0
3.77,53.33,68.09,2.0
7.27,52.11,66.67,0.0
7.27,51.39,65.98,0.0
5.56,53.52,65.62,0.0
5.56,52.05,67.01,0.0
7.27,52.11,65.62,0.99
