host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1250321936,9999884965.29
100.64.129.150,5201,UDP,0,0,1249785056,9999420618.79
100.64.129.150,5201,UDP,0,0,1250196664,10000073648.09
100.64.129.150,5201,UDP,0,0,1248460752,9981288126.59
100.64.129.150,5201,UDP,0,0,1239074300,9911643244.24
100.64.129.150,5201,UDP,0,0,1239405376,9922277875.72
100.64.129.150,5201,UDP,0,0,1240452292,9923647910.78
100.64.129.150,5201,UDP,0,0,1240550720,9917483650.07
100.64.129.150,5201,UDP,0,0,1239306948,9921479832.69
100.64.129.150,5201,UDP,0,0,1240121216,9915942373.89
100.64.129.150,5201,UDP,26826,1.929934,12437675260,9949317399.45
