total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1037833780,8299043381.641963,0.00917893812361277,23632,16.926305535858813
1240121216,9920949622.620945,0.006189556347148198,1099,0.7867364397133674
1239530648,9910407823.968607,0.009870558656514454,1247,0.8921608608243367
1239602232,9922602664.198126,0.00623775110793045,811,0.5820086834834404
1240130164,9914993226.270065,0.00547786831020511,0,0
1240219644,9922094251.65488,0.006064767854718056,0,0
1239629076,9922688532.70397,0.006144376490996286,0,0
1239816984,9918565431.62846,0.005413274259839653,0,0
1240327020,9922606697.06484,0.0058392787460030925,0,0
1240434396,9917692631.17636,0.01747069228759521,37,0.02668320544625858
