CPU_0,CPU_1,CPU_2,CPU_3
4.76,52.05,66.32,2.11
4.69,52.05,65.98,0.0
4.76,52.05,65.98,0.0
4.76,51.35,66.32,2.11
3.17,52.7,60.2,0.0
3.23,51.35,63.54,2.15
4.76,50.0,65.26,0.0
