host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1091083328,8714383674.89
100.64.129.150,5201,UDP,0,0,1237991592,9914531462.38
100.64.129.150,5201,UDP,0,0,1240103320,9920469411.14
100.64.129.150,5201,UDP,0,0,1240291228,9922657479.81
100.64.129.150,5201,UDP,0,0,1239387480,9914762989.42
100.64.129.150,5201,UDP,0,0,1240675992,9921221171.89
100.64.129.150,5201,UDP,0,0,1238573212,9908605776.36
100.64.129.150,5201,UDP,0,0,1238931132,9915961035.02
100.64.129.150,5201,UDP,0,0,1240622304,9924968966.81
100.64.129.150,5201,UDP,0,0,1240640200,9916682155.23
100.64.129.150,5201,UDP,31,0.002265,12248299788,9797244702.75
