total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1088577888,8702166456.600826,0.005825600196103735,0,0
1239682764,9917382901.640615,0.005587507084614614,0,0
1240353864,9920113366.90585,0.013677363461072794,9,0.006492241771083555
1240201748,9921653606.2348,0.009267039833316743,0,0
1239655920,9917217804.38778,0.005477111641533917,0,0
1240130164,9921011745.080956,0.005573486122142263,0,0
1238313720,9909245000.077696,0.00842586519020288,0,0
1239289052,9914381556.353327,0.005716943203975287,22,0.015882068422838413
1240649148,9922335455.702173,0.007143129697581556,0,0
1240273332,9922236334.555256,0.0064534401496701,0,0
903748,10027716801.928543,0.01058105671257904,0,0
