host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1104075824,8825105585.54
100.64.129.150,5201,UDP,0,0,1240246488,9920176751.78
100.64.129.150,5201,UDP,0,0,1240148060,9921214047.52
100.64.129.150,5201,UDP,0,0,1233392320,9867129149.97
100.64.129.150,5201,UDP,0,0,1240264384,9922115072.00
100.64.129.150,5201,UDP,0,0,1239405376,9921265352.01
100.64.129.150,5201,UDP,0,0,1232542260,9860358062.59
100.64.129.150,5201,UDP,0,0,1279349248,10224600596.16
100.64.129.150,5201,UDP,0,0,1436449284,11496135245.20
100.64.129.150,5201,UDP,0,0,1239262208,9909509473.11
100.64.129.150,5201,UDP,26671,1.911489,12485135452,9986625347.74
