CPU_0,CPU_1,CPU_2,CPU_3
8.93,50.68,65.62,0.0
5.56,54.05,65.26,3.0
5.66,52.7,65.98,0.0
7.14,52.78,65.98,0.0
5.56,53.33,65.26,0.0
5.56,52.11,68.04,0.0
5.45,52.05,73.63,0.0
