CPU_0,CPU_1,CPU_2,CPU_3
7.27,51.39,68.89,0.0
5.45,50.0,71.43,0.99
5.56,52.05,66.33,0.0
3.77,51.35,66.67,1.0
7.27,52.78,66.33,0.0
7.27,50.68,66.33,0.0
5.56,53.33,67.01,0.0
