total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1095763132,8763317879.37878,0.00873373619413644,17140,12.278024914218584
1240246488,9921842981.43204,0.007657845902595492,1087,0.778134910124344
1239924360,9919494209.652025,0.006971172162287973,1117,0.7996449204292454
1240344916,9922749864.928307,0.008891310645494983,1078,0.7716811625326604
1240282280,9922347544.118107,0.00687845071541193,44,0.03173366797928657
1240157008,9921256064,0.00589693329326353,0,0
1241060756,9921382625.829035,0.00561079788228622,0,0
1229535732,9843166068.335787,0.011369412116736421,0,0
1240318072,9922604310.763824,0.005365181734056543,0,0
1234618196,9876945568,0.00586504056851193,0,0
1091656,9671370906.52402,0.006266139101319755,0,0
