host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1063827720,8502451362.67
100.64.129.150,5201,UDP,0,0,1275179480,10202731765.46
100.64.129.150,5201,UDP,0,0,1240210696,9919721397.40
100.64.129.150,5201,UDP,0,0,1239951204,9919520944.57
100.64.129.150,5201,UDP,0,0,1239843828,9918859997.87
100.64.129.150,5201,UDP,0,0,1241382884,9925356523.96
100.64.129.150,5201,UDP,0,0,1238940080,9919168180.59
100.64.129.150,5201,UDP,0,0,1240371760,9921079418.90
100.64.129.150,5201,UDP,0,0,1240210696,9921705674.91
100.64.129.150,5201,UDP,0,0,1240416500,9919017280.08
100.64.129.150,5201,UDP,4397,0.320907,12260334848,9806838041.41
