total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1062512364,8491743431.5336485,0.00793057536443557,0,0
1238465836,9907697160.76151,0.00577980389476066,4165,2.9213309766293523
1239870672,9918965376,0.007453135083626437,0,0
1239593284,9916696621.180925,0.005705252268413303,8,0.00577446387711941
1240157008,9921424602.45189,0.00651548313898675,0,0
1240407552,9922605107.84521,0.005587272068335033,0,0
1240219644,9922332600.84805,0.005616834127224922,0,0
1240327020,9922636268.79714,0.00646303377658975,0,0
1238277928,9905638906.13261,0.006393259944412885,224,0.1616045018396941
1240291228,9922766308.90524,0.0055287327372972326,0,0
876904,9480043389.51794,0.026186478840668236,0,0
