total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1047497620,8374771566.73294,0.00577765992042353,16,0.01366575276945021
1240846004,9922670554.706806,0.007350938392279432,0,0
1239843828,9922759421.6074,0.005934220511258627,0,0
1239110092,9912860647.013723,0.005557272240764917,0,0
1240774420,9922196252.456823,0.005984577298790192,12969,8.552831159238693
1239136936,9913055309.238457,0.00607633560391706,14651,9.5675001469311
1239763296,9922303642.9802,0.0059360876319407615,0,0
1239396428,9915092231.936247,0.005343384010999539,0,0
1240291228,9922349932.216864,0.02181216302939852,0,0
1240353864,9922810802.849155,0.005799247611511473,0,0
1503264,9737742713.09036,0.006565389147722144,0,0
