CPU_0,CPU_1,CPU_2,CPU_3
10.53,50.7,64.58,0.0
5.56,54.17,65.62,0.0
7.14,52.0,69.79,0.0
8.93,52.78,72.45,2.0
5.56,52.78,64.58,0.0
5.56,54.05,65.62,0.0
5.56,52.0,64.58,1.0
