host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1022657972,8171972094.97
100.64.129.150,5201,UDP,0,0,1239101144,9917728050.05
100.64.129.150,5201,UDP,0,0,1240971276,9923919466.87
100.64.129.150,5201,UDP,0,0,1240228592,9925729283.81
100.64.129.150,5201,UDP,0,0,1239199572,9913567031.27
100.64.129.150,5201,UDP,0,0,1240649148,9921323344.10
100.64.129.150,5201,UDP,0,0,1239181676,9917013603.74
100.64.129.150,5201,UDP,0,0,1287214540,10298076628.35
100.64.129.150,5201,UDP,0,0,1242358216,9925446994.60
100.64.129.150,5201,UDP,0,0,1237553140,9909174754.91
100.64.129.150,5201,UDP,5247,0.383921,12229115276,9782212264.57
