CPU_0,CPU_1,CPU_2,CPU_3
7.27,52.7,66.67,0.0
5.56,52.05,66.33,0.0
5.56,53.42,66.33,0.99
7.27,53.33,66.33,0.0
7.27,52.7,65.98,0.99
5.56,52.05,67.01,0.0
9.09,51.39,65.62,0.0
