CPU_0,CPU_1,CPU_2,CPU_3
4.76,52.0,64.58,0.0
3.23,52.05,66.32,5.38
3.23,51.35,65.62,0.0
4.76,52.7,65.98,0.0
4.76,52.0,65.26,2.13
4.76,50.68,65.62,0.0
3.17,50.7,65.98,2.11
