total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1092604488,8733246400.91883,0.00604062979298089,0,0
1240389656,9921579680.195633,0.006861552684437637,0,0
1240157008,9922674922.596045,0.0055750741897047035,0,0
1239602232,9916827904.513077,0.017362001248929466,0,0
1240497032,9922468121.77138,0.006202294058457778,0,0
1240210696,9921784920.59024,0.006287830456832588,0,0
1239557492,9917541115.54137,0.005336556191358064,22,0.01587862952992039
1240300176,9922778749.08221,0.00632751189364015,0,0
1239986996,9918329344.98196,0.00510577027829652,33,0.023807806074597794
1240031736,9921861283.349033,0.005783635066564235,0,0
1091656,9924145377.03381,0.006248902230407518,0,0
