host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1094823592,8744964551.66
100.64.129.150,5201,UDP,0,0,1238984820,9920052431.33
100.64.129.150,5201,UDP,0,0,1240246488,9919085550.53
100.64.129.150,5201,UDP,0,0,1239602232,9919734552.70
100.64.129.150,5201,UDP,0,0,1240130164,9921011745.08
100.64.129.150,5201,UDP,0,0,1240604408,9924825798.95
100.64.129.150,5201,UDP,0,0,1239360636,9914498606.59
100.64.129.150,5201,UDP,0,0,1240872848,9924511300.76
100.64.129.150,5201,UDP,0,0,1239709608,9917647307.11
100.64.129.150,5201,UDP,0,0,1240640200,9920786005.64
100.64.129.150,5201,UDP,55,0.004016,12254974996,9802545884.34
