total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1104827456,8829455068.45581,0.0063516169509051255,0,0
1240318072,9922524467.42943,0.006073303963250201,0,0
1240103320,9920945418.219925,0.007205370024248173,1,0.0007215475752393734
1239476960,9922871077.575163,0.01428232619197401,0,0
1240282280,9922377115.37242,0.0062074677404238415,0,0
1233991836,9871875847.034687,0.005653117840482274,0,0
1240327020,9922536908.47545,0.005829910671244357,0,0
1240183852,9921391573.62326,0.0057121549665315645,0,0
1241051808,9921469465.651966,0.00599081439807871,0,0
1239441168,9922564414.87916,0.005461420681219603,0,0
1386940,9784408997.634104,0.00651230604261154,0,0
