host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1105158532,8839854066.17
100.64.129.150,5201,UDP,0,0,1242036088,9922882900.33
100.64.129.150,5201,UDP,0,0,1237857372,9916642914.45
100.64.129.150,5201,UDP,0,0,1240595460,9924783793.15
100.64.129.150,5201,UDP,0,0,1240273332,9922196709.95
100.64.129.150,5201,UDP,0,0,1233812876,9870463001.87
100.64.129.150,5201,UDP,0,0,1240201748,9921613984.00
100.64.129.150,5201,UDP,0,0,1240174904,9921359019.58
100.64.129.150,5201,UDP,0,0,1240640200,9925121600.00
100.64.129.150,5201,UDP,0,0,1241096548,9918893229.68
100.64.129.150,5201,UDP,1,0.000073,12261847060,9808377148.08
