CPU_0,CPU_1,CPU_2,CPU_3
3.23,53.42,64.21,0.0
4.76,50.7,65.62,0.0
4.76,52.78,65.62,0.0
3.23,52.63,65.62,2.11
6.15,52.11,65.62,0.0
7.81,50.68,64.58,0.0
3.23,53.42,64.89,1.06
