host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1079960964,8632677514.45
100.64.129.150,5201,UDP,0,0,1240505980,9921845510.80
100.64.129.150,5201,UDP,0,0,1395664300,11168430496.45
100.64.129.150,5201,UDP,0,0,1240658096,9922576119.83
100.64.129.150,5201,UDP,0,0,1239038508,9921554736.98
100.64.129.150,5201,UDP,0,0,1241561844,9923276048.46
100.64.129.150,5201,UDP,0,0,1240362812,9922862277.49
100.64.129.150,5201,UDP,0,0,1240380708,9923065773.67
100.64.129.150,5201,UDP,0,0,1238904288,9920510160.19
100.64.129.150,5201,UDP,0,0,1240389656,9909936853.18
100.64.129.150,5201,UDP,19607,1.415160,12397427156,9916533577.03
