CPU_0,CPU_1,CPU_2,CPU_3
7.14,53.33,72.92,0.0
5.56,51.39,65.31,1.0
5.45,53.33,65.62,0.99
5.56,52.7,65.62,0.0
7.27,52.05,65.98,0.0
5.56,54.05,65.62,0.0
5.45,52.05,65.98,0.0
