total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1094107752,8750393974.562874,0.005217730915198204,0,0
1241150236,9921720922.7628,0.006847555963079147,17919,11.440629269725333
1238734276,9917461319.9524,0.00945674190227368,0,0
1241221820,9922184426.158646,0.019157593219430925,0,0
1240353864,9922761121.76708,0.009368222387750064,0,0
1231719044,9853841039.53892,0.005860446513985323,934,0.6739448866055258
1240318072,9922594256.347296,0.006089416969099442,0,0
1240318072,9922574147.575367,0.006059231205700378,0,0
1239378532,9922480222.45277,0.006470363070638337,0,0
1240318072,9922564684.65207,0.02301631069402698,0,0
930592,10019832954.937746,0.006217521728031224,0,0
