CPU_0,CPU_1,CPU_2,CPU_3
5.45,53.42,65.98,0.0
5.56,52.7,66.67,0.0
8.93,54.17,65.98,0.0
3.77,54.05,66.67,0.0
5.56,53.42,65.98,0.0
7.27,52.7,65.62,0.0
5.56,53.42,66.67,0.0
