host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1097114280,8762779693.24
100.64.129.150,5201,UDP,0,0,1398348700,11203325594.51
100.64.129.150,5201,UDP,0,0,1239995944,9919917885.05
100.64.129.150,5201,UDP,0,0,1241311300,9921719043.84
100.64.129.150,5201,UDP,0,0,1239119040,9921733150.73
100.64.129.150,5201,UDP,0,0,1240309124,9922423312.51
100.64.129.150,5201,UDP,0,0,1240165956,9921347754.19
100.64.129.150,5201,UDP,0,0,1240488084,9923934247.63
100.64.129.150,5201,UDP,0,0,1240273332,9922196709.95
100.64.129.150,5201,UDP,0,0,1240416500,9918719443.95
100.64.129.150,5201,UDP,18853,1.358534,12417542260,9933432835.31
