total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1080605220,8644349187.34533,0.00890077549186283,7349,5.736297360163604
1241382884,9921429763.89609,0.007774713578448343,12537,8.2878297084683
1238609004,9918403674.344084,0.013443368929332707,474,0.341260070411888
1240353864,9922801339.74755,0.007037245766939515,1736,1.2368724795873292
1240237540,9921960050.885336,0.005324918987053668,1027,0.7355047553569383
1240273332,9922206763.926725,0.00575187927631599,0,0
1231361124,9850810313.35737,0.008278523456508476,0,0
1240327020,9922557016.951374,0.005270589136294553,0,0
1233839720,9870737763.621815,0.00540213086059795,600,0.43324427756516715
1241490260,9922455740.25814,0.010966904095851455,0,0
1136396,9914032741.635864,0.005614477658968058,0,0
