host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1152332388,9201213384.89
100.64.129.150,5201,UDP,0,0,1347676176,10801077971.19
100.64.129.150,5201,UDP,0,0,1244622060,9948729168.57
100.64.129.150,5201,UDP,0,0,1255467036,10051375522.62
100.64.129.150,5201,UDP,0,0,1250312988,9994947470.70
100.64.129.150,5201,UDP,0,0,1240201748,9921028558.01
100.64.129.150,5201,UDP,0,0,1231038996,9848873176.89
100.64.129.150,5201,UDP,0,0,1240470188,9922501764.08
100.64.129.150,5201,UDP,0,0,1239691712,9917513597.58
100.64.129.150,5201,UDP,0,0,1240174904,9918651345.14
100.64.129.150,5201,UDP,23723,1.706104,12441988196,9952288797.43
