CPU_0,CPU_1,CPU_2,CPU_3
6.25,51.35,60.42,1.11
6.25,53.42,60.22,1.11
3.23,51.39,60.0,1.11
4.76,52.7,60.42,1.11
4.76,52.05,61.05,0.0
4.69,53.33,60.42,0.0
4.76,52.05,61.86,1.1
