total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1061787576,8485356630.247714,0.005844777334775695,0,0
1239969100,9920020649.52606,0.005791496238586926,0,0
1240327020,9922566479.791777,0.0058496819710259825,0,0
1239521700,9919337909.05397,0.0056702391474589,47,0.033917385907686975
1240693888,9922415384.32114,0.005943610957173262,0,0
1239682764,9920626832.225697,0.017840629208190243,27,0.0194847369560511
1240318072,9922564684.65207,0.005906310185374929,0,0
1235611424,9884950900.08769,0.010162278032953949,526,0.3794710491003795
1240327020,9922557016.951374,0.005700851702248497,0,0
1240729680,9922612942.814995,0.015083560652072617,0,0
1145344,9799734568.429384,0.0061575647077474665,0,0
