host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1064060368,8497561626.57
100.64.129.150,5201,UDP,0,0,1238403200,9919476234.88
100.64.129.150,5201,UDP,0,0,1240532824,9919243024.20
100.64.129.150,5201,UDP,0,0,1240479136,9923823623.90
100.64.129.150,5201,UDP,0,0,1240174904,9921389770.23
100.64.129.150,5201,UDP,0,0,1240219644,9926790005.83
100.64.129.150,5201,UDP,0,0,1240980224,9923098260.77
100.64.129.150,5201,UDP,0,0,1239906464,9918964380.85
100.64.129.150,5201,UDP,0,0,1239646972,9922226424.07
100.64.129.150,5201,UDP,0,0,1241069704,9918321975.10
100.64.129.150,5201,UDP,600,0.043915,12225473440,9778861072.76
