host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1080658908,8640441496.04
100.64.129.150,5201,UDP,0,0,1256880820,10050363200.17
100.64.129.150,5201,UDP,0,0,1238770068,9916676018.30
100.64.129.150,5201,UDP,0,0,1240157008,9921692501.67
100.64.129.150,5201,UDP,0,0,1242071880,9923119234.07
100.64.129.150,5201,UDP,0,0,1238519524,9921570275.63
100.64.129.150,5201,UDP,0,0,1240228592,9921808628.88
100.64.129.150,5201,UDP,0,0,1240362812,9916010965.97
100.64.129.150,5201,UDP,0,0,1240246488,9921981957.74
100.64.129.150,5201,UDP,0,0,1240362812,9917953337.25
100.64.129.150,5201,UDP,2184,0.159422,12258258912,9805113810.77
