total_bytes_transferidos,taxa_de_bits_por_segundo,jitter,total_pacotes_perdidos,porcentagem_pacotes_perdidos
1079164592,8624398923.14483,0.0059631805708615145,77,0.0638045756995716
1237785788,9907289193.27826,0.008717702971382267,2047,1.4582057017481371
1240022788,9915164799.954536,0.00615376718300763,8,0.00577246390406165
1240264384,9922224482.97315,0.008144476935771973,0,0
1239986996,9919855761.675434,0.005190088211310186,2,0.0014432201127154909
1239700660,9922656146.812096,0.014674804015820586,0,0
1240264384,9922006254.83088,0.01439732944795015,0,0
1239718556,9917808153.89063,0.008944711341801687,3,0.0021652832912306026
1240327020,9922496691.7681,0.006035195994616146,0,0
1239727504,9917849589.495087,0.00657268504634012,47,0.0339117572784011
1762756,9931019816.53145,0.005565194741487213,0,0
