CPU_0,CPU_1,CPU_2,CPU_3
6.25,52.11,57.61,1.11
6.25,52.05,61.46,1.1
4.76,52.11,61.46,0.0
3.17,51.39,60.22,0.0
4.76,52.7,62.24,2.15
6.25,52.11,60.22,0.0
3.23,52.05,60.64,0.0
