CPU_0,CPU_1,CPU_2,CPU_3
3.28,52.0,65.62,0.0
4.69,52.78,65.62,1.06
6.35,48.61,65.98,0.0
4.76,54.05,65.62,2.11
6.25,52.05,65.98,0.0
3.23,53.33,65.62,1.06
3.23,50.68,65.98,0.0
