host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1057868352,8454805070.03
100.64.129.150,5201,UDP,0,0,1240380708,9922440046.32
100.64.129.150,5201,UDP,0,0,1240246488,9921962441.68
100.64.129.150,5201,UDP,0,0,1239280104,9921027041.72
100.64.129.150,5201,UDP,0,0,1239861724,9918903842.62
100.64.129.150,5201,UDP,0,0,1240854952,9920004438.38
100.64.129.150,5201,UDP,0,0,1239682764,9924309720.65
100.64.129.150,5201,UDP,0,0,1240085424,9920673930.91
100.64.129.150,5201,UDP,0,0,1240210696,9921665461.17
100.64.129.150,5201,UDP,0,0,1240425448,9918939911.58
100.64.129.150,5201,UDP,586,0.042913,12218896660,9774343200.02
